"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"400C100US01090","Albion, MI Urban Cluster (2010)","8986","198","5517","349","2833","287","81","64","30","23","0","14","84","96","441","163","63","46","378","161"
"400C100US01117","Albion, NY Urban Cluster (2010)","8223","401","6046","484","1631","296","25","21","0","16","0","16","282","226","239","151","12","17","227","149"
"400C100US01144","Albion, PA Urban Cluster (2010)","4570","206","3253","245","1132","145","5","8","7","10","1","2","93","51","79","40","2","3","77","40"
"400C100US01171","Albuquerque, NM Urbanized Area (2010)","759627","1849","565664","4853","21952","765","32690","1221","18018","841","729","196","88777","4366","31797","1693","11991","1152","19806","1364"
"400C100US01198","Alderson, WV Urban Cluster (2010)","2514","379","2090","345","289","108","0","11","0","11","0","11","31","31","104","77","11","20","93","74"
"400C100US01225","Aledo, IL Urban Cluster (2010)","3438","107","3346","107","39","30","0","11","18","11","0","11","11","17","24","17","0","11","24","17"
"400C100US01232","Aledo, TX Urban Cluster (2010)","5272","328","4784","351","94","110","51","71","12","14","7","13","132","93","192","99","38","31","154","98"
"400C100US01252","Alexander City, AL Urban Cluster (2010)","9718","691","4758","584","4407","577","37","42","137","126","0","16","360","296","19","35","0","16","19","35"
"400C100US01279","Alexandria, LA Urbanized Area (2010)","84567","1250","42680","1233","37191","880","373","142","2017","187","7","13","496","151","1803","340","475","199","1328","326"
"400C100US01306","Alexandria, MN Urban Cluster (2010)","17377","463","16584","487","211","72","114","47","9","13","0","14","146","96","313","89","0","14","313","89"
"400C100US01333","Alfred, NY Urban Cluster (2010)","4441","198","3658","199","415","125","21","21","199","76","0","11","106","53","42","27","11","15","31","23"
"400C100US01360","Algoma, WI Urban Cluster (2010)","3032","43","2939","76","53","53","0","9","15","14","0","9","11","14","14","20","0","9","14","20"
"400C100US01387","Algona, IA Urban Cluster (2010)","5318","81","5249","95","29","37","0","13","16","22","0","13","5","10","19","20","0","13","19","20"
"400C100US01414","Alice, TX Urban Cluster (2010)","20860","644","19950","662","158","76","24","39","237","151","48","63","340","177","103","93","49","68","54","70"
"400C100US01441","Allegan, MI Urban Cluster (2010)","5739","486","5019","549","509","253","61","48","28","44","0","14","22","33","100","89","4","8","96","87"
"400C100US01468","Allendale, SC Urban Cluster (2010)","3153","56","526","173","2627","184","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"400C100US01495","Allentown, PA--NJ Urbanized Area (2010)","674329","2042","550191","3129","44030","1536","2041","609","21241","729","165","173","35339","2162","21322","1504","3394","488","17928","1435"
"400C100US01522","Alliance, NE Urban Cluster (2010)","8402","49","7561","152","67","56","371","297","23","30","31","78","72","55","277","204","66","65","211","189"
"400C100US01549","Alliance, OH Urban Cluster (2010)","32155","577","28445","764","2231","391","47","58","127","88","0","24","84","76","1221","344","53","79","1168","353"
"400C100US01603","Alma, GA Urban Cluster (2010)","3689","268","1987","306","1460","210","0","13","86","125","24","32","0","13","132","84","45","69","87","60"
"400C100US01630","Alma--St. Louis, MI Urban Cluster (2010)","16646","183","13805","229","2207","123","99","54","54","33","11","20","47","33","423","103","91","37","332","105"
"400C100US01657","Almont, MI Urban Cluster (2010)","2783","32","2760","38","0","10","0","10","0","10","0","10","7","12","16","24","0","10","16","24"
"400C100US01684","Alpena, MI Urban Cluster (2010)","13362","306","12892","305","139","46","58","44","78","61","0","16","15","17","180","69","21","16","159","68"
"400C100US01711","Alpine, TX Urban Cluster (2010)","6430","361","6036","401","5","5","21","25","84","32","0","19","148","79","136","94","63","63","73","65"
"400C100US01738","Altavista, VA Urban Cluster (2010)","4994","286","3237","385","1502","315","1","3","51","58","0","12","101","124","102","82","0","12","102","82"
"400C100US01765","Alton, IL--MO Urbanized Area (2010)","82377","701","71049","1210","8674","780","33","30","455","197","3","5","283","132","1880","357","151","109","1729","352"
"400C100US01792","Altoona, PA Urbanized Area (2010)","76658","845","72475","938","1575","237","8","9","698","163","45","63","282","189","1575","257","53","57","1522","241"
"400C100US01819","Alturas, CA Urban Cluster (2010)","2607","118","2487","116","32","46","22","31","19","24","0","12","15","23","32","38","0","12","32","38"
"400C100US01846","Altus, OK Urban Cluster (2010)","19195","210","12615","402","1795","144","390","116","247","88","0","15","2863","364","1285","286","439","186","846","220"
"400C100US01873","Alva, OK Urban Cluster (2010)","5728","139","4880","129","232","73","83","39","61","49","0","13","56","60","416","96","64","55","352","89"
"400C100US01900","Alvarado, TX Urban Cluster (2010)","4207","226","4004","252","3","8","22","35","0","13","0","13","43","56","135","165","28","44","107","162"
"400C100US01927","Amarillo, TX Urbanized Area (2010)","203436","710","167170","1425","14660","611","1086","222","7906","428","186","82","5226","874","7202","913","1483","324","5719","852"
"400C100US01981","American Falls, ID Urban Cluster (2010)","4324","13","3607","478","19","29","124","81","0","12","0","12","538","518","36","50","0","12","36","50"
"400C100US02008","Americus, GA Urban Cluster (2010)","17931","501","6039","602","11091","536","24","34","132","124","0","20","345","230","300","145","46","35","254","142"
"400C100US02035","Amery, WI Urban Cluster (2010)","2750","89","2643","102","1","3","0","9","36","39","0","9","0","9","70","53","0","9","70","53"
"400C100US02062","Ames, IA Urbanized Area (2010)","66511","429","55234","502","1737","265","157","64","6719","439","43","51","336","106","2285","457","48","39","2237","461"
"400C100US02116","Amite City, LA Urban Cluster (2010)","6141","546","2433","494","3418","704","65","57","33","61","0","17","7","12","185","188","0","17","185","188"
"400C100US02143","Amory, MS Urban Cluster (2010)","6360","363","4326","391","1801","271","0","18","65","92","0","18","6","11","162","150","0","18","162","150"
"400C100US02170","Amsterdam, NY Urban Cluster (2010)","21837","407","17251","586","689","198","9","20","140","68","0","21","2493","432","1255","298","444","179","811","199"
"400C100US02197","Anaconda-Deer Lodge County, MT Urban Cluster (2010)","6200","450","5733","406","28","35","41","46","48","73","0","14","23","42","327","96","0","14","327","96"
"400C100US02224","Anacortes, WA Urban Cluster (2010)","17341","143","16043","216","80","38","137","47","425","119","25","16","155","64","476","83","64","21","412","79"
"400C100US02251","Anadarko, OK Urban Cluster (2010)","5758","265","1930","327","350","116","2611","352","96","53","0","13","209","139","562","203","4","7","558","203"
"400C100US02278","Anamosa, IA Urban Cluster (2010)","5409","26","4867","157","397","142","81","92","0","13","0","13","52","80","12","24","12","24","0","13"
"400C100US02305","Anchorage, AK Urbanized Area (2010)","255672","1109","154798","1544","15617","706","20307","1243","26350","866","6908","342","6162","995","25530","1612","1628","480","23902","1459"
"400C100US02332","Anchorage Northeast, AK Urban Cluster (2010)","30579","1142","25287","1046","506","244","1127","323","929","271","142","221","82","73","2506","534","153","172","2353","538"
"400C100US02359","Andalusia, AL Urban Cluster (2010)","6823","329","4748","378","1913","286","0","16","39","37","0","16","51","48","72","56","0","16","72","56"
"400C100US02386","Anderson, IN Urbanized Area (2010)","86846","897","72539","1012","9390","460","179","86","577","165","6","10","1141","344","3014","477","236","106","2778","477"
"400C100US02413","Anderson, SC Urbanized Area (2010)","78919","1511","55265","1275","20515","904","198","95","830","307","13","18","517","250","1581","413","17","29","1564","417"
"400C100US02440","Andrews, SC Urban Cluster (2010)","4021","370","1361","320","2519","325","0","12","0","12","0","12","23","25","118","157","109","158","9","11"
"400C100US02467","Andrews, TX Urban Cluster (2010)","14889","373","13528","489","285","228","16","29","37","63","9","19","687","307","327","157","32","42","295","150"
