city_A,city_B
"New York, NY","Los Angeles, CA"
"New York, NY","Chicago, IL"
"New York, NY","Washington, DC"
"New York, NY","Boston, MA"
"New York, NY","El Paso, TX"
"Los Angeles, CA","Chicago, IL"
"Los Angeles, CA","Washington, DC"
"Los Angeles, CA","Boston, MA"
"Los Angeles, CA","El Paso, TX"
"Chicago, IL","Washington, DC"
"Chicago, IL","Boston, MA"
"Chicago, IL","El Paso, TX"
"Washington, DC","Boston, MA"
"Washington, DC","El Paso, TX"
"Boston, MA","El Paso, TX"
