"topic","term","beta"
1,"00gmt",0.000239976776343695
2,"00gmt",5.8008876903057e-05
3,"00gmt",0.000110741746120988
4,"00gmt",6.52503427893686e-06
5,"00gmt",0.000410908235414519
1,"0khalodi0",2.55044142614632e-05
2,"0khalodi0",0.000584208594782494
3,"0khalodi0",0.000212260332959073
4,"0khalodi0",0.000345724820235308
5,"0khalodi0",0.000646003757907883
1,"100m",3.42145014185315e-05
2,"100m",0.000448103193873099
3,"100m",5.38080556772192e-05
4,"100m",0.000314986514369197
5,"100m",3.47405321964173e-05
1,"112k",0.000222888340149568
2,"112k",0.000318560701459261
3,"112k",0.000132260041713684
4,"112k",8.25890002570948e-05
5,"112k",8.25979819463852e-05
1,"1st",0.00253533463970106
2,"1st",0.00206754828562727
3,"1st",0.000442184748560999
4,"1st",0.000608591381150738
5,"1st",0.00102281138131721
1,"1u",9.47456398816089e-05
2,"1u",4.17037632258212e-05
3,"1u",0.000237771823944126
4,"1u",0.000112891365725278
5,"1u",0.000251870199101064
1,"200m",0.000114105451984078
2,"200m",4.07667463972675e-05
3,"200m",0.000122648777146745
4,"200m",0.000245282469433466
5,"200m",0.000208526661104353
1,"20x",0.000106163111939371
2,"20x",0.000295492051094373
3,"20x",1.50972555488979e-05
4,"20x",0.000214620189995431
5,"20x",0.000268149610700924
1,"27nd",1.57894828809445e-05
2,"27nd",0.000245695019782029
3,"27nd",0.000276092686888963
4,"27nd",6.80485665724798e-05
5,"27nd",0.000227137166886545
1,"27th",0.000129492639014675
2,"27th",0.000402304704996564
3,"27th",0.00153831310896404
4,"27th",0.000886256860629764
5,"27th",0.000512474503263904
1,"30pm",0.00045762652287542
2,"30pm",8.11030274825054e-05
3,"30pm",0.000364287680804452
4,"30pm",0.000286516179800861
5,"30pm",0.00019007333327532
1,"3d",7.0825038951446e-05
2,"3d",4.41969987956966e-05
3,"3d",0.000303679016799981
4,"3d",9.95682486266067e-05
5,"3d",0.00019358075316189
1,"3m",0.000191724197505275
2,"3m",0.00012873297105279
3,"3m",9.38777926554568e-05
4,"3m",0.000106251303665927
5,"3m",0.000299819877782326
1,"47m",0.000187086364957877
2,"47m",0.00018754577917652
