"topic","term","beta"
1,"airway",0.000233782224563818
2,"airway",1.11469445046008e-05
3,"airway",0.00011959963862337
4,"airway",0.000191080526245604
1,"aki",0.000259834064935215
2,"aki",0.000120372412665543
3,"aki",5.1466022449634e-05
4,"aki",0.000177802553655865
1,"aks",6.74031873410003e-05
2,"aks",0.000231216181174495
3,"aks",0.000137656393412352
4,"aks",0.000217673428121552
1,"al",0.000231704156794737
2,"al",0.000192893757031813
3,"al",0.00019782697435035
4,"al",8.59269421082805e-06
1,"alain",0.000132058455520747
2,"alain",0.000296394172997058
3,"alain",2.15282320423007e-05
4,"alain",0.00024148379792026
1,"alarm",7.56057144845616e-05
2,"alarm",5.01560135834851e-06
3,"alarm",0.000387330134553368
4,"alarm",6.57380114340518e-05
1,"alcohol",0.000225290826978153
2,"alcohol",0.000178955537418591
3,"alcohol",2.36849650042141e-05
4,"alcohol",0.00021012617596907
1,"ali",0.000206689777141413
2,"ali",9.75732202507219e-05
3,"ali",0.000188281365014823
4,"ali",9.67243256473392e-05
1,"alik",0.000189060584357926
2,"alik",0.000176589212194054
3,"alik",0.000197067460355547
4,"alik",6.13753661516622e-05
1,"aliv",7.14317460286233e-05
2,"aliv",0.00019451168429783
3,"aliv",0.000223099308784002
4,"aliv",0.000141959098366075
1,"allah",0.000375376035416487
2,"allah",0.000382572039037149
3,"allah",0.000248281819109521
4,"allah",0.000266211100464629
1,"allenjfost",0.000239260061408513
2,"allenjfost",2.74413288423968e-05
3,"allenjfost",9.828748001141e-06
4,"allenjfost",0.000294670818576827
1,"allevi",0.000117774750015686
2,"allevi",5.12483006111026e-05
3,"allevi",9.17009384861264e-05
4,"allevi",0.000315805585715158
1,"alli",0.000381979359924282
2,"alli",0.000110643228912081
3,"alli",0.000264198692628258
4,"alli",0.000392666854799409
1,"allow",0.000234695020986118
2,"allow",8.70098918128778e-05
3,"allow",0.000193678590821942
4,"allow",6.85415459860013e-05
1,"alltagsrassismus",0.000205223264055642
2,"alltagsrassismus",5.16717852825953e-05
3,"alltagsrassismus",0.000205872299547008
4,"alltagsrassismus",0.000104633630361306
1,"allur",5.24135484054951e-05
2,"allur",2.69590174772172e-05
3,"allur",0.000304284635169849
4,"allur",0.000166332638556195
1,"aluminium",0.000124651550142682
2,"aluminium",0.00013243355670999
3,"aluminium",0.00029209029375748
4,"aluminium",4.84114347364188e-05
1,"amazon",0.000177943132414914
2,"amazon",5.8042984630376e-05
3,"amazon",0.000182850006176264
4,"amazon",0.000153366132268485
1,"ambul",0.000249424332500939
2,"ambul",7.48215179125668e-05
3,"ambul",0.000158505224294822
4,"ambul",9.82831933344756e-05
1,"ameen",0.000148235755208374
2,"ameen",0.000311128887200348
3,"ameen",9.69198889601918e-05
4,"ameen",0.000135927287415011
1,"amen",0.000161337754007099
2,"amen",0.000255109520113138
3,"amen",0.000148053007108426
4,"amen",9.86601584796985e-05
1,"america",0.000547674727734188
2,"america",0.00181468222526456
3,"america",0.00102615230699331
4,"america",0.00239447207755695
1,"american",0.000220052281088985
2,"american",0.00112293918722365
3,"american",0.000409385287315097
4,"american",0.000963158946914668
1,"americasfutur",9.00853371136995e-05
2,"americasfutur",0.000260027525127524
3,"americasfutur",7.34384812030619e-05
4,"americasfutur",0.000248003552551418
1,"amerindepend",0.000246962414006877
2,"amerindepend",0.000201351764768338
3,"amerindepend",0.000183717066204963
4,"amerindepend",3.73114213875351e-06
1,"amid",0.000560373786194651
2,"amid",0.000721826331236374
3,"amid",0.000379685566414407
4,"amid",0.000312463332342856
1,"amp",0.0089005527509294
2,"amp",0.0038748802552974
3,"amp",0.000240015612606718
4,"amp",0.00435488826908752
1,"amswonigeria",0.000133812796402219
2,"amswonigeria",0.000280590066716732
3,"amswonigeria",0.000204984081485267
4,"amswonigeria",5.10540476851199e-05
1,"amunmarri",0.000166165642121299
2,"amunmarri",0.000165343454656685
3,"amunmarri",0.000155095735455652
4,"amunmarri",0.000135812423644935
1,"amus",0.000146966477641927
2,"amus",0.000144205520704982
3,"amus",7.40566499543625e-05
4,"amus",0.000254027161281876
1,"analyz",0.000106519406614029
2,"analyz",2.70829445478705e-05
3,"analyz",0.000245479905313612
4,"analyz",0.000175032281345433
1,"anchor",0.000245876084199601
2,"anchor",0.00015856287135848
3,"anchor",0.00014278953914965
4,"anchor",7.25022502076896e-05
1,"anem",7.74123346495093e-05
2,"anem",0.000194207207735619
3,"anem",0.000126305719768828
4,"anem",0.000240250142779329
1,"angri",0.000164158150276345
2,"angri",2.84879594277881e-05
3,"angri",0.000202478608445518
4,"angri",0.000162461158442849
1,"angrierwhstaff",0.000199538189936068
2,"angrierwhstaff",0.000244546152623097
3,"angrierwhstaff",5.36502223912877e-05
4,"angrierwhstaff",0.000167589422836457
1,"anim",0.000532343892283011
2,"anim",2.53513196755294e-05
3,"anim",0.00062388665387525
4,"anim",0.000462730441404006
1,"animejapan",9.01975587510467e-05
2,"animejapan",0.000332081278023562
3,"animejapan",0.00015970897664932
4,"animejapan",0.000115257734282003
1,"annerabbitt",8.52828707249386e-06
2,"annerabbitt",0.000399106401642119
3,"annerabbitt",0.000222841066813104
4,"annerabbitt",9.25701829511242e-05
1,"annihil",0.000191011301915356
2,"annihil",0.000132665290635848
3,"annihil",0.000220011248617161
4,"annihil",5.89902134605236e-05
1,"announc",0.000286025570620131
2,"announc",0.000868381598947739
3,"announc",4.82653680869003e-05
4,"announc",0.000303034577863396
1,"annwilburn7",9.0470579015159e-05
2,"annwilburn7",1.98763886471141e-05
3,"annwilburn7",0.000286539973692506
4,"annwilburn7",0.000151001137617825
1,"anonym",6.85330812347196e-05
2,"anonym",8.99667424510041e-05
3,"anonym",0.000210900328079117
4,"anonym",0.000215763367537491
1,"answer",0.000162041671197858
2,"answer",0.000459912743671143
3,"answer",0.000339237872338752
4,"answer",0.000340521245807188
1,"anthrax",0.000162890847405499
2,"anthrax",0.000258851133664018
3,"anthrax",0.000155617438850283
4,"anthrax",8.68893426071054e-05
1,"anti",0.000576165224564552
2,"anti",0.000579755960932133
3,"anti",0.000563658787530429
4,"anti",0.000177095385992731
1,"antidot",0.000288859349083054
2,"antidot",0.000117385002374169
3,"antidot",3.84003768288832e-06
4,"antidot",0.000201458353181427
1,"antivaxx",0.000160689711742904
2,"antivaxx",0.000191016465003851
3,"antivaxx",9.13033445508536e-05
4,"antivaxx",0.000195783985884489
1,"anxieti",0.000105420664281729
2,"anxieti",8.29615480461403e-05
3,"anxieti",0.000349784450749808
4,"anxieti",3.30385271460327e-05
1,"apolonia",0.00020662936006552
2,"apolonia",0.000168052423963772
3,"apolonia",0.000159334101642934
4,"apolonia",8.89937166998882e-05
1,"appar",0.00026555542454439
2,"appar",0.000284572781350189
3,"appar",0.000112905536846841
4,"appar",1.52151019605719e-05
1,"appeal",2.33929190272649e-05
2,"appeal",7.11199282416319e-05
3,"appeal",0.000135987866497426
4,"appeal",0.000352252254322184
1,"appear",0.000115216407840168
2,"appear",0.000145658241250817
3,"appear",0.000190322350687223
4,"appear",0.000160109488642909
1,"appl",0.000166428405632206
2,"appl",5.48651408617678e-05
3,"appl",0.000191961198642865
4,"appl",0.000156917919911697
1,"appnew",0.000226976651902604
2,"appnew",0.000226723913190204
3,"appnew",0.000365587813450666
4,"appnew",0.000375587201259687
1,"appoint",0.000463338773326021
2,"appoint",0.00038963307959256
3,"appoint",0.000292662879158708
4,"appoint",0.000125946653334364
1,"appreci",0.000412804527191624
2,"appreci",0.000174782190488462
3,"appreci",0.000381309183377828
4,"appreci",0.000200171587239616
1,"approach",0.000145346074868687
2,"approach",8.62481302710499e-05
3,"approach",0.000728363720946289
4,"approach",0.000706519473889612
1,"approv",0.00011556525779951
2,"approv",0.000204082047230182
3,"approv",0.000203900752122376
4,"approv",0.000112870362310375
1,"approx",0.000238790635296603
2,"approx",0.000215024390002037
3,"approx",0.000137417568009969
4,"approx",5.42264063695084e-05
1,"april",0.000151767091949439
2,"april",3.59134103072651e-05
3,"april",0.00018364769945601
4,"april",0.000191102671999348
1,"aprzhu",0.000297383804413771
2,"aprzhu",0.000322231559221258
3,"aprzhu",3.91546089415492e-05
4,"aprzhu",4.17009416489732e-05
1,"arabia",0.0014429603611033
2,"arabia",0.00171862729243718
3,"arabia",0.00217680098516023
4,"arabia",0.000307592540860386
1,"arachi",0.000116860915495779
2,"arachi",0.000145866101157952
3,"arachi",0.000278497014103876
4,"arachi",6.34643211542966e-05
1,"arewa",0.00016071352728178
2,"arewa",0.000203913619230911
3,"arewa",8.03186521259719e-05
4,"arewa",0.000200453891910471
1,"arm",0.000142454362566286
2,"arm",0.000692923889383611
3,"arm",0.000711274834107259
4,"arm",0.000392646522424712
1,"arrest",0.000264721628844099
2,"arrest",0.000243826018305995
3,"arrest",1.19092648760791e-05
4,"arrest",0.000147236043686396
1,"arriv",0.000958859200242952
2,"arriv",0.00180983126251381
3,"arriv",8.71386707675847e-05
4,"arriv",0.000747578908863083
1,"arsalanghumman",0.000216335436809929
2,"arsalanghumman",9.46341437851976e-05
3,"arsalanghumman",9.76288206912001e-05
4,"arsalanghumman",0.000186171250710586
1,"arsehol",3.6141943035244e-05
2,"arsehol",0.000154921752014449
3,"arsehol",0.000151081044981843
4,"arsehol",0.000276871057238373
1,"articl",0.000739295433408927
2,"articl",1.64457212471736e-05
3,"articl",0.000868374018188196
4,"articl",0.00111897065204286
1,"artifici",0.000115702825936705
2,"artifici",0.000175639448255572
3,"artifici",0.000119201101080521
4,"artifici",0.000219580291638743
1,"asadowaisi",8.46492896029555e-05
2,"asadowaisi",0.000145283046115483
3,"asadowaisi",0.000254723586226111
4,"asadowaisi",0.000121814886237634
1,"asap",0.000173114638646516
2,"asap",7.61691315124165e-05
3,"asap",9.80294420201912e-05
4,"asap",0.000239480726935535
1,"asenkut",1.19264402198563e-05
2,"asenkut",0.000173867722141712
3,"asenkut",0.000273717847305928
4,"asenkut",0.000158843605831625
1,"asia",0.00104917792099218
2,"asia",0.00107439855060918
3,"asia",0.00035550239648458
4,"asia",0.000774150645207901
1,"asian",0.000491168052392746
2,"asian",0.000324195466711491
3,"asian",0.000784924184018193
4,"asian",0.000165833273978672
1,"askwho",0.000225209056805391
2,"askwho",0.00011948223937072
3,"askwho",0.000112630595444998
4,"askwho",0.000147362803328255
1,"ass",0.000537647660141037
2,"ass",0.000916781126231051
3,"ass",0.000333122579673812
4,"ass",0.000277749769105787
1,"assess",0.000489533910616137
2,"assess",0.000515440691227415
3,"assess",0.000319760794716685
4,"assess",0.000562325316468718
1,"assist",0.000100968805043203
2,"assist",0.000183425755749371
3,"assist",0.000157140648508962
4,"assist",0.000189299079008031
1,"assuag",0.000229401107967716
2,"assuag",7.67394420271658e-05
3,"assuag",8.20328575895453e-05
4,"assuag",0.000199676600876788
1,"assur",9.70870554895586e-05
2,"assur",0.000641422452714842
3,"assur",0.000549928750455902
4,"assur",7.89765524458567e-05
1,"asthma",0.000200425642896994
2,"asthma",0.000186380705425462
3,"asthma",2.12268419773241e-05
4,"asthma",0.000233717127027941
1,"asymptomat",0.000130137865279788
2,"asymptomat",0.000113099079606648
3,"asymptomat",0.00016339575104064
4,"asymptomat",0.000192038612354322
1,"ate",0.000196028420641178
2,"ate",0.000215664108374419
3,"ate",5.7143169405129e-05
4,"ate",0.000183323321785719
1,"athlet",7.26606802726638e-05
2,"athlet",0.000233225147400303
3,"athlet",2.97104681199208e-05
4,"athlet",0.000327414406239578
1,"atlanta",0.000137003399195473
2,"atlanta",5.41859385649237e-05
3,"atlanta",0.000618714199999703
4,"atlanta",0.000289188329023933
1,"attempt",0.000130022212354378
2,"attempt",0.000249752941737441
3,"attempt",0.000382161417039612
4,"attempt",0.000442699875810714
1,"attract",0.000388837217386517
2,"attract",0.000359181966284636
3,"attract",0.000521188080493345
4,"attract",0.000533361902131776
1,"audio",0.000188522613214295
2,"audio",0.000154624542490274
3,"audio",0.000105515505307693
4,"audio",0.000172559821854637
1,"aur",0.000168063277967144
2,"aur",5.63682142529471e-05
3,"aur",0.000167240138360046
4,"aur",0.000181039834780759
1,"auspol",5.06637975248288e-05
2,"auspol",0.000473899105188014
3,"auspol",0.000653733825343589
4,"auspol",0.000668031419630533
1,"auspolsocorrupt",0.000172771726238768
2,"auspolsocorrupt",9.53317024568575e-05
3,"auspolsocorrupt",0.000149021815214163
4,"auspolsocorrupt",0.000174372817371086
1,"australia",0.000601087768487191
2,"australia",0.000557342172572343
3,"australia",0.000534697062291354
4,"australia",0.000195534453879096
1,"australia'n",0.00021182041637001
2,"australia'n",0.000132078388638107
3,"australia'n",0.000220639939454041
4,"australia'n",3.76756531467014e-05
1,"australian",0.000226543628509544
2,"australian",9.54107347641502e-05
3,"australian",0.000129939052287912
4,"australian",0.00182498063914038
1,"author",0.00190456103603576
2,"author",0.000267661235061071
3,"author",0.00181029678602057
4,"author",0.00103856431283036
1,"authoritarian",0.000280072199452326
2,"authoritarian",0.000405680697758264
3,"authoritarian",0.000517471643568625
4,"authoritarian",5.98083452632842e-05
1,"avicii",7.23369740721523e-05
2,"avicii",0.00029519619475508
3,"avicii",3.87196004368596e-05
4,"avicii",0.000283809444974668
1,"avoid",0.000431339438399381
2,"avoid",0.000442170871479062
3,"avoid",0.000177803615247615
4,"avoid",0.00025274148651759
1,"awar",0.000137940786252492
2,"awar",5.24213341088818e-05
3,"awar",0.000346330701090049
4,"awar",2.08677769686775e-05
1,"axio",7.51005420465099e-05
2,"axio",0.00022691496110954
3,"axio",0.000175869989451737
4,"axio",0.000171178841443134
1,"ayam",0.000232029135144819
2,"ayam",4.49336689691526e-05
3,"ayam",4.77212564403412e-05
4,"ayam",0.000251519530981364
1,"b737",0.00021685620125417
2,"b737",0.000161413907100606
3,"b737",6.74135151527868e-05
4,"b737",0.000181263409974116
1,"backpack",0.000163117167893732
2,"backpack",0.00011104174356395
3,"backpack",0.000144925741781529
4,"backpack",0.000179826339422002
1,"bad",0.000196331887705391
2,"bad",0.00100044204010132
3,"bad",0.000942149026971695
4,"bad",0.0010429192203176
1,"baghdad",0.000162503141548045
2,"baghdad",0.000671448991931368
3,"baghdad",3.59381873831172e-05
4,"baghdad",0.000549530701071934
1,"bahama",3.08600316194925e-05
2,"bahama",0.000341082876570889
3,"bahama",0.000124296907127762
4,"bahama",0.000208161560165356
1,"bahn",5.84514938260283e-05
2,"bahn",0.000352828383261665
3,"bahn",0.000143297651902671
4,"bahn",0.000153433493273505
1,"bahrain",0.000882656628610612
2,"bahrain",0.000157125145600402
3,"bahrain",1.12202938302885e-06
4,"bahrain",0.000707115266609677
1,"balaji",1.61099471412752e-05
2,"balaji",0.000205187665136659
3,"balaji",0.000182714792076288
4,"balaji",0.000235242797405285
1,"ball",0.000159377940001443
2,"ball",0.000190377541265013
3,"ball",0.000123555780329182
4,"ball",0.000162755600113877
1,"balochistan",0.000452584186379994
2,"balochistan",0.000383268253802072
3,"balochistan",4.29729160130035e-05
4,"balochistan",0.000408956942285468
1,"ban",0.00303757567578347
2,"ban",0.00116983921741893
3,"ban",0.000821014220701225
4,"ban",0.00214750522770298
1,"bangkok",9.90928156133871e-06
2,"bangkok",0.00031020666474809
3,"bangkok",0.000112847243124541
4,"bangkok",0.000258644475823391
1,"barth",2.14397381999277e-05
2,"barth",0.000219432312493232
3,"barth",0.000238241746994558
4,"barth",0.000162258344575463
1,"base",0.000498747151299767
2,"base",0.000808939034183287
3,"base",0.000616950487024544
4,"base",7.11251345576229e-05
1,"basic",0.000382735345526574
2,"basic",0.000402212436524676
3,"basic",0.000227104610010284
4,"basic",0.000270732910662642
1,"bat",1.97868341101281e-05
2,"bat",0.000257927709507865
3,"bat",0.000172895527724
4,"bat",0.000212966560091179
1,"batch",0.000168323251403331
2,"batch",0.000203472353952419
3,"batch",0.000173266525205968
4,"batch",9.30223521899589e-05
1,"bathroom",0.000154637312569789
2,"bathroom",8.37672260154711e-06
3,"bathroom",0.000145238256866689
4,"bathroom",0.000244752236311404
1,"bay",9.80264372134628e-06
2,"bay",7.49039670613684e-05
3,"bay",0.000268839229561285
4,"bay",0.000220907308809309
1,"bayern",0.000208667173082872
2,"bayern",0.000274668257480823
3,"bayern",2.46050052077483e-05
4,"bayern",0.00017300342524423
1,"bbc",0.000150706194399256
2,"bbc",2.29678253961214e-06
3,"bbc",9.68626800073233e-05
4,"bbc",0.000304122217708642
1,"bbclondonnew",0.000173899647895636
2,"bbclondonnew",0.000344260972471558
3,"bbclondonnew",9.53930177187962e-05
4,"bbclondonnew",9.34126321571294e-05
1,"bbcnewsnight",2.97315454668888e-05
2,"bbcnewsnight",0.000141858114329619
3,"bbcnewsnight",7.20468557775634e-05
4,"bbcnewsnight",0.00037558478667129
1,"bbcradiolondon",5.01067140297195e-05
2,"bbcradiolondon",0.000166745055776235
3,"bbcradiolondon",0.000181735442655449
4,"bbcradiolondon",0.000223288011686439
1,"bbcsport",0.000155804893309797
2,"bbcsport",0.000217775343845058
3,"bbcsport",0.000209837089031289
4,"bbcsport",5.83818484570727e-05
1,"bbcworld",0.000177659705324551
2,"bbcworld",0.000147740956161434
3,"bbcworld",0.000153953012744272
4,"bbcworld",0.000135188198307408
1,"bbhuttozardari",0.000108206612924122
2,"bbhuttozardari",0.000164062701771381
3,"bbhuttozardari",0.000183715558118788
4,"bbhuttozardari",0.000164111642277809
1,"bbi",8.99783326216069e-05
2,"bbi",0.00013475233454121
3,"bbi",0.000180328874905459
4,"bbi",0.000202311386066712
1,"bcbnew",5.88311754970165e-05
2,"bcbnew",0.000437167513597473
3,"bcbnew",0.000220464898804655
4,"bcbnew",2.34257475622667e-05
1,"bcuz",0.00022333053371417
2,"bcuz",0.000137931266532695
3,"bcuz",0.000228001428609384
4,"bcuz",1.4926429859116e-05
1,"bear",0.000264791715246193
2,"bear",9.9390043855549e-06
3,"bear",0.000104835881157772
4,"bear",0.000176395467644451
1,"beard",2.60509608619005e-05
2,"beard",0.000927894679110037
3,"beard",0.000658869163880358
4,"beard",0.000997907753660425
1,"beardyderp",0.000235828884626463
2,"beardyderp",0.000229719742777392
3,"beardyderp",0.00018134509456783
4,"beardyderp",1.82624314712069e-06
1,"beat",0.00024145298890594
2,"beat",0.000201754731869228
3,"beat",0.000171525150470658
4,"beat",0.000583605634646679
1,"beauti",0.000472159555140779
2,"beauti",3.18111304083505e-05
3,"beauti",0.000398896320920212
4,"beauti",0.000200444082247816
1,"bed",4.26638246718372e-05
2,"bed",2.00530361652231e-05
3,"bed",0.000467555202018113
4,"bed",4.29453255947075e-06
