"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count"
"394563785","1232918204550389761",2020-02-27 06:39:41,"BrankoZunec","The biggest problem and the reason for panic with Coronavirus is the media and the fact that 50 percent or more of news is focusing on this virus They are not helping in discovering the cure They are not helping in calming people They are spr ","LinkedIn",279,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"168259012","1232918203795492864",2020-02-27 06:39:40,"TOLOnews","Estonia says it has first confirmed coronavirus case - TASS and Reuters reported TOLOnewsbreak ","Twitter Web App",97,NA,NA,NA,FALSE,FALSE,1,0,NA,NA
"385886965","1232918201413050368",2020-02-27 06:39:40,"__Asfa__","On s'adapte coronavirus ","Twitter for Android",25,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"1064016914","1232918198200274945",2020-02-27 06:39:39,"nyc0823"," trish regan taken out of context read the FULL quote That is why rationale media is not giving much weight to it U must Breally worried about the Trumpster coronavirus DowJones POTUS fired security staff who deal w/pandemics amp the DowJones is tanking PeteButtigieg ","Twitter for iPhone",283,NA,"138182116","trish_regan",FALSE,FALSE,0,0,NA,NA
"1029942112844840961","1232918196845338625",2020-02-27 06:39:39,"therealscottyY1"," AnnWilburn7 TheBubble it's the new wall realDonaldTrump will cover the country to save us coronavirus","Twitter for iPhone",98,"1232792629248585728","1158961425173245954","AnnWilburn7",FALSE,FALSE,0,0,NA,NA
"1029725124445003776","1232918185156005888",2020-02-27 06:39:36,"BerlinSpectator","The Coronavirus is spreading in western and southern Germany Since Tuesday evening ten new cases have been confirmed The authorities have not been in this situation before Neither has the nation ","Twitter Web App",225,NA,NA,NA,FALSE,FALSE,1,1,NA,NA
"2417257886","1232918182224171013",2020-02-27 06:39:35,"BMMRobertson","Am at one of year's largest private equity conference this week Lot of people from Italy East Asia and elsewhere didn't show up coronavirus Fund managers all say they are reviewing portfolios trying to assess risk/exposure to virus as it spreads ","Twitter Web App",277,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"1863660890","1232918170727526400",2020-02-27 06:39:33,"josephthavaraja"," coronavirus deadly for patients with lung issues ChinaCoronaVirus coronavirusitalianews China WuhanCoronavirus WuhanOutbreak WuhanPneumonia Wuhan CoronaVirusOutbreak COVID19 outbreak virusoutbreak ","Twitter for Android",213,NA,NA,NA,TRUE,FALSE,1,1,NA,NA
"47451515","1232918166197559296",2020-02-27 06:39:31,"WiselinePRT"," realDonaldTrump The sight or thought of Mike Pence makes me want to take an anti-viral shower so I guess that's a step in the right direction coronavirus ","Twitter for Android",165,"523237015329193984","25073877","realDonaldTrump",TRUE,FALSE,0,0,NA,NA
"171185615","1232918165241442304",2020-02-27 06:39:31,"UtohPaul"," TheDiscuss LIVE Health 27/02/2020 With my guest dazHalle Topic Disease Control Assessing Nigeria's Health Management System LassaFever Coronavirus MedicalNigeria MedicalworldNig cmdanigeria IslamicIman AMSWONigeria Fmohnigeria ThursdayMotivation ","Twitter for Android",269,NA,NA,NA,FALSE,FALSE,2,2,NA,NA
"33063523","1232918161890168832",2020-02-27 06:39:30,"jimdog918"," beardyderp Prepping for coronavirus ","Twitter for Android",29,"1232750668244340736","964640820031733760","beardyderp",FALSE,FALSE,0,0,NA,NA
"722351221256888320","1232918153417629696",2020-02-27 06:39:28,"CurrentNews_EN","Death toll in Iran from coronavirus rises to 19 ","Twitter Web Client",76,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"1048294504481128448","1232918148858417153",2020-02-27 06:39:27,"HorizonMgmt1999","While markets continue to panic the number of deaths globally from Coronavirus has collapsed coronavirus ","Twitter Web App",107,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"1158206243481145345","1232918138854891520",2020-02-27 06:39:25,"mmvillarosa_"," bobbibaybee Definitely praying that the Coronavirus doesn't get any worse Ms Apolonia ","Twitter for Android",81,"1232757061621911555","1216781238419087361","bobbibaybee",FALSE,FALSE,0,0,NA,NA
"329319607","1232918131426807809",2020-02-27 06:39:23,"niloykr_datta"," TarekFatah real threat to human existance is not coronavirus people like them are they will not rest until all life on earth is annihilated ","Twitter for Android",132,"1232865579549233152","17537467","TarekFatah",FALSE,FALSE,0,0,NA,NA
"1127739302434213888","1232918123092770816",2020-02-27 06:39:21,"DanielIcenhour","Mike pence who doesn't believe in evolution was placed in charge of the coronavirus task force I wonder if he believes/knows that viruses evolve coronavirus Pencedemic","Twitter for iPhone",180,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
"2842083123","1232918098224787456",2020-02-27 06:39:15,"AbjectZero","This is what's on the president's mind at 1 AM eastern time while America faces a looming pandemic He is not well coronavirususa coronavirus Corvid19 ","Twitter Web App",154,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
"886490504","1232918078574485505",2020-02-27 06:39:11,"Djbawlah","Dean Koontz The eye darkness An introduction to the new age masses consciousness control Coronavirus ","Twitter Web App",129,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
